tipologia_corso	denominazione	classe_laurea	codice	accesso	curriculum	link	keywords
triennale	AGROINGEGNERIA	L-25	['2073']	Accesso libero		['https://offertaformativa.unipa.it/offweb/public/corso/visualizzaCurriculum.seam;jsessionid=SWgbhEEQ+hjRAoLWrTiz8riH.undefined?oidCurriculum=21992&paginaProvenienza=ricercaSemplice&cid=1137']	['AGROINGEGNERIA', 'ECONOMIA E POLITICA AGRARIA', 'TOPOGRAFIA, CARTOGRAFIA ED ELEMENTI DI CAD', 'IDRAULICA AGRARIA', 'COSTRUZIONI RURALI', 'BIOCHIMICA AGRARIA E CHIMICA DEL SUOLO', 'AGRONOMIA GENERALE', 'COLTIVAZIONI ERBACEE', 'ENTOMOLOGIA E ZOOLOGIA AGRARIA', 'ORTOFLORICOLTURA', 'COLTIVAZIONI ARBOREE', 'PATOLOGIA VEGETALE', 'PRODUZIONI ANIMALI', 'ESTIMO RURALE', 'MECCANICA AGRARIA', 'FONDAMENTI DI IRRIGAZIONE E DRENAGGIO', 'Scienze Agrarie, Alimentari e Forestali']
triennale	ARCHITETTURA E PROGETTO NEL COSTRUITO	L-23	['2242']	Accesso libero		['https://offertaformativa.unipa.it/offweb/public/corso/visualizzaCurriculum.seam;jsessionid=SWgbhEEQ+hjRAoLWrTiz8riH.undefined?oidCurriculum=21827&paginaProvenienza=ricercaSemplice&cid=1137']	['ARCHITETTURA E PROGETTO NEL COSTRUITO', 'ARCHITETTURA TECNICA', 'LABORATORIO DI PROGETTAZIONE ARCHITETTONICA I', 'URBANISTICA', 'FISICA TECNICA AMBIENTALE', 'STATICA', "LABORATORIO DI DISEGNO E RILIEVO DIGITALE DELL'ARCHITETTURA", 'LABORATORIO DI PROGETTAZIONE ARCHITETTONICA II', 'ESTIMO E PRATICA PROFESSIONALE', 'LABORATORIO DI TECNOLOGIA DEL RECUPERO EDILIZIO', 'LABORATORIO DI PROGETTAZIONE ARCHITETTONICA III', 'LABORATORIO DI URBANISTICA', 'LABORATORIO DI RESTAURO ARCHITETTONICO', 'LABORATORIO DI PROGETTAZIONE AMBIENTALE', 'Architettura']
triennale	ASSISTENZA SANITARIA  	L/SNT4	['2176']	30 posti		['https://offertaformativa.unipa.it/offweb/public/corso/visualizzaCurriculum.seam;jsessionid=SWgbhEEQ+hjRAoLWrTiz8riH.undefined?oidCurriculum=22286&paginaProvenienza=ricercaSemplice&cid=1137']	['ASSISTENZA SANITARIA', 'SOCIOLOGIA GENERALE', 'STATISTICA SOCIALE', 'MALATTIE INFETTIVE', 'TIROCINIO', 'SCIENZE TECNICHE E MEDICHE APPLICATE 1', 'METODOLOGIA EPIDEMIOLOGICA', 'TECNICHE INFERMIERISTICHE', 'MEDICINA INTERNA', 'MEDICINA FISICA E RIABILITATIVA', 'NEUROLOGIA', 'SCIENZE INFERMIERISTICHE E TECNICHE NEUROPSICHIATRICHE E RIABIL.', 'PEDIATRIA', 'SCIENZE TECNICHE E MEDICHE APPLICATE 2', 'GINECOLOGIA E OSTETRICIA', 'SCIENZE TECNICHE E MEDICHE APPLICATE', 'SCIENZE TECNICHE DIETETICHE APPLICATE', 'IGIENE E MEDICINA E PREVENTIVA', 'MEDICINA LEGALE', 'DIRITTO PUBBLICO', 'PROTEZIONE E RADIOPROTEZIONE', 'MEDICINA DEL LAVORO', 'Promozione della Salute, Materno-Infantile, di Medicina Interna e Specialistica di Eccellenza “G. D’Alessandro”']
triennale	BENI CULTURALI: CONOSCENZA, GESTIONE, VALORIZZAZIONE	L-1	['2194']	Accesso libero	PATRIMONIO E TURISMO CULTURALE, STORICO - ARCHEOLOGICO	['https://offertaformativa.unipa.it/offweb/public/corso/visualizzaCurriculum.seam;jsessionid=SWgbhEEQ+hjRAoLWrTiz8riH.undefined?oidCurriculum=21587&paginaProvenienza=ricercaSemplice&cid=1137', 'https://offertaformativa.unipa.it/offweb/public/corso/visualizzaCurriculum.seam;jsessionid=SWgbhEEQ+hjRAoLWrTiz8riH.undefined?oidCurriculum=21626&paginaProvenienza=ricercaSemplice&cid=1137']	['STORICO - ARCHEOLOGICO', 'BENI CULTURALI: CONOSCENZA, GESTIONE, VALORIZZAZIONE', "ARCHEOLOGIA E STORIA DELL' ARTE GRECA", "ARCHEOLOGIA E STORIA DELL'ARTE ROMANA", 'Gruppo di attiv. form. opzionali II', 'ARCHEOLOGIA FENICIO-PUNICA', 'LEGISLAZIONE DEI BENI CULTURALI', 'PREISTORIA E PROTOSTORIA', 'ECONOMIA APPLICATA AI BENI CULTURALI', 'Gruppo di attiv. form. opzionali III', "ARCHEOLOGIA E STORIA DELL' ARTE DEL VICINO ORIENTE ANTICO", 'GEOGRAFIA STORICA DEL MONDO GRECO', 'METODOLOGIA E DIDATTICA DELLA STORIA', 'METODOLOGIA ARCHEOLOGICA', 'ARCHEOLOGIA CRISTIANA E MEDIEVALE', 'MUSEOLOGIA', 'CARTOGRAFIA E FOTOGRAFIA AEREA', 'TOPOGRAFIA E ARCHEOLOGIA DEI PAESAGGI', 'NUMISMATICA ANTICA E MEDIEVALE', 'ARCHEOLOGIA DELLA SICILIA ANTICA', 'PATRIMONIO IMMATERIALE', 'Culture e società']
triennale	BIODIVERSITÀ E INNOVAZIONE TECNOLOGICA	L-32	['2295']	Accesso libero		['https://offertaformativa.unipa.it/offweb/public/corso/visualizzaCurriculum.seam;jsessionid=SWgbhEEQ+hjRAoLWrTiz8riH.undefined?oidCurriculum=22406&paginaProvenienza=ricercaSemplice&cid=1137']	['BIODIVERSITÀ E INNOVAZIONE TECNOLOGICA', 'BIODIVERSITÀ VEGETALE', 'BIOLOGIA VEGETALE', 'BIODIVERSITÀ ANIMALE', 'OCEANOGRAFIA', 'APPLICAZIONI DI ECOLOGIA', 'ECOLOGIA GENERALE', 'BIOLOGIA MOLECOLARE', 'VARIABILITÀ GENETICA', 'GEOLOGIA MARINA', "DIRITTO DELL'AMBIENTE", 'ECONOMIA APPLICATA AGLI ECOSISTEMI', 'GEOMICROBIOLOGIA', 'GEOCHIMICA', 'BIODIVERSITÀ E FUNZIONI E ADATTAMENTI DELLE STRUTTURE', 'NEW GREEN DEAL', 'SAFETY AND ENVIRONMENT', 'EFFETTI SUGLI ORGANISMI', 'IDROLOGIA E CAMBIAMENTI CLIMATICI', 'EFFETTI ECOLOGICI', 'REMOTE SENSING PER IL MONITORAGGIO DELL’AMBIENTE', 'PRODUZIONI ACQUATICHE', 'Scienze della Terra e del Mare']
triennale	BIOTECNOLOGIE	L-2	['2075']	105 posti		['https://offertaformativa.unipa.it/offweb/public/corso/visualizzaCurriculum.seam;jsessionid=SWgbhEEQ+hjRAoLWrTiz8riH.undefined?oidCurriculum=22569&paginaProvenienza=ricercaSemplice&cid=1137']	['BIOTECNOLOGIE', 'BIOLOGIA VEGETALE', 'CITOLOGIA ED ISTOLOGIA', 'BIOLOGIA CELLULARE', 'DIRITTO DELLE BIOTECNOLOGIE', 'BIOLOGIA ANIMALE', 'BIOCHIMICA', 'GENETICA GENERALE E MOLECOLARE', 'BIOTECNOLOGIE MOLECOLARI', 'TECNOLOGIE RICOMBINANTI', 'ANATOMIA UMANA', 'FISIOLOGIA DELLA NUTRIZIONE', 'FISIOLOGIA GENERALE', 'IMMUNOLOGIA', 'BIOCHIMICA CLINICA', 'PATOLOGIA ED ONCOLOGIA GENERALE', 'ZOOTECNICA', 'COLTURE ARBOREE', 'COLTURE ERBACEE', 'Scienze e Tecnologie Biologiche, Chimiche e Farmaceutiche']
triennale	CHIMICA	L-27	['2076']	Accesso libero		['https://offertaformativa.unipa.it/offweb/public/corso/visualizzaCurriculum.seam;jsessionid=SWgbhEEQ+hjRAoLWrTiz8riH.undefined?oidCurriculum=22586&paginaProvenienza=ricercaSemplice&cid=1137']	['CHIMICA', 'CHIMICA GENERALE ED INORGANICA', 'METODI COMPUTAZIONALI DI BASE PER LA CHIMICA', 'CHIMICA INORGANICA', 'LABORATORIO DI CHIMICA INORGANICA', 'CHIMICA ORGANICA II', 'LABORATORIO DI CHIMICA ORGANICA II', 'LABORATORIO DI CHIMICA ANALITICA', 'CHIMICA FISICA I', 'BIOCHIMICA', 'CHIMICA ANALITICA APPLICATA', 'CHIMICA ANALITICA STRUMENTALE', 'LABORATORIO DI CHIMICA FISICA II', 'CHIMICA FISICA II', 'CHIMICA ORGANICA FISICA', 'CHIMICA FISICA III', 'LABORATORIO DI CHIMICA FISICA III', 'Scienze e Tecnologie Biologiche, Chimiche e Farmaceutiche']
triennale	CONSULENTE GIURIDICO D'IMPRESA	L-14	['2146']	Accesso libero		['https://offertaformativa.unipa.it/offweb/public/corso/visualizzaCurriculum.seam;jsessionid=SWgbhEEQ+hjRAoLWrTiz8riH.undefined?oidCurriculum=22008&paginaProvenienza=ricercaSemplice&cid=1137']	["CONSULENTE GIURIDICO D'IMPRESA", 'DIRITTO INTERNAZIONALE PRIVATO', 'ECONOMIA POLITICA', 'DIRITTO DELLA PUBBLICA AMMINISTRAZIONE', 'DIRITTO PUBBLICO COMPARATO', 'MODULO I - ISTITUZIONI', 'MODULO II - RAGIONERIA', 'DIRITTO COMMERCIALE PER LO SVILUPPO ECONOMICO', 'DIRITTO PRIVATO COMPARATO', 'NUOVI MODELLI DI BUSINESS E TEORIA DELLE NEGOZIAZIONI', 'DIRITTO TRIBUTARIO', 'TECNICHE ALTERNATIVE DI RISOLUZIONE DELLE CONTROVERSIE', 'DIRITTO DEL LAVORO E DELLE RELAZIONI SINDACALI', 'ECONOMIA REGIONALE E DEI PATTI TERRITORIALI', 'DIRITTO DELLA FILIERA AGRO-ALIMENTARE', "DIRITTO PENALE E REATI D'IMPRESA", 'Giurisprudenza']
triennale	DIETISTICA  	L/SNT3	['2209']	60 posti		['https://offertaformativa.unipa.it/offweb/public/corso/visualizzaCurriculum.seam;jsessionid=SWgbhEEQ+hjRAoLWrTiz8riH.undefined?oidCurriculum=22291&paginaProvenienza=ricercaSemplice&cid=1137']	['DIETISTICA', 'SCIENZE DIETETICHE DI BASE E DELLA NUTRIGENOMICA', 'SCIENZE DIETETICHE PER LA COLLETTIVITÀ', 'GASTROENTEROLOGIA I', 'CHIMICA DEGLI ALIMENTI', 'ALIMENTI E PRODUZIONI DI ORIGINE VEGETALE', 'TIROCINIO', 'SCIENZE TECNICHE DIETETICHE PER LA NUTRIZIONE CLINICA', 'MEDICINA INTERNA', 'PSICHIATRIA', 'DIAGNOSTICA PER IMMAGINI E RADIOTERAPIA', 'PEDIATRIA', 'MALATTIE APPARATO CARDIOVASCOLARE', 'MEDICINA FISICA E RIABILITATIVA IN AMBITO NUTRIZIONALE', 'SCIENZE TECNICHE DIETETICHE APPL.ALLA FISIOPATOL.E METODOLOGIA CLINICA', 'GASTROENTEROLOGIA II', 'ENDOCRINOLOGIA', 'SISTEMI DI ELABORAZIONE DELLE INFORMAZIONI', 'FARMACOLOGIA', 'ONCOLOGIA  MEDICA', 'ALIMENTI E MALATTIE CRONICO-DEGENERATIVE', 'SOCIOLOGIA GENERALE', 'IGIENE GENERALE E APPLICATA', 'ORGANIZZAZIONE AZIENDALE', 'METODOLOGIE DELLA DIETETICA NEL TRATTAMENTO MEDICO-NUTRIZIONALE', "METODI E DIDATTICHE DELLE ATTIVITA' MOTORIE", 'PSICOLOGIA CLINICA', 'Promozione della Salute, Materno-Infantile, di Medicina Interna e Specialistica di Eccellenza “G. D’Alessandro”']
triennale	DISCIPLINE DELLE ARTI, DELLA MUSICA E DELLO SPETTACOLO	L-3	['2199']	Accesso libero	ARTE, MUSICA, RECITAZIONE E PROFESSIONI DELLA SCENA, SPETTACOLO	['https://offertaformativa.unipa.it/offweb/public/corso/visualizzaCurriculum.seam;jsessionid=SWgbhEEQ+hjRAoLWrTiz8riH.undefined?oidCurriculum=21666&paginaProvenienza=ricercaSemplice&cid=1137', 'https://offertaformativa.unipa.it/offweb/public/corso/visualizzaCurriculum.seam;jsessionid=SWgbhEEQ+hjRAoLWrTiz8riH.undefined?oidCurriculum=21667&paginaProvenienza=ricercaSemplice&cid=1137', 'https://offertaformativa.unipa.it/offweb/public/corso/visualizzaCurriculum.seam;jsessionid=SWgbhEEQ+hjRAoLWrTiz8riH.undefined?oidCurriculum=21706&paginaProvenienza=ricercaSemplice&cid=1137', 'https://offertaformativa.unipa.it/offweb/public/corso/visualizzaCurriculum.seam;jsessionid=SWgbhEEQ+hjRAoLWrTiz8riH.undefined?oidCurriculum=21668&paginaProvenienza=ricercaSemplice&cid=1137']	['SPETTACOLO', 'DISCIPLINE DELLE ARTI, DELLA MUSICA E DELLO SPETTACOLO', 'SEMIOTICA DELLE ARTI', 'INFORMATICA', 'STORIA DEL TEATRO E DELLO SPETTACOLO', 'STORIA E CRITICA DEL CINEMA MOD. A', 'STORIA E CRITICA DEL CINEMA MOD. B', 'ESTETICA', 'TEORIA DEI LINGUAGGI', 'TECNICHE CINEMATOGRAFICHE', 'ORGANIZZAZIONE DELLO SPETTACOLO', 'LABORATORIO DI DISEGNO ARCHITETTONICO', 'STORIA DELLA RECITAZIONE (MODULO)', 'STORIA DELLA REGIA (MODULO)', 'INFORMATICA UMANISTICA', 'TEORIA DELLA PERCEZIONE', "STORIA DELL'ARTE CONTEMPORANEA", 'Gruppo di attiv. form. opzionali II', 'STORIA DEI GENERI E DELLE FORME MUSICALI', 'ETNOMUSICOLOGIA', 'SCENEGGIATURA PER IL CINEMA E MULTIMEDIA', 'STORIA DELLA DANZA', 'TEORIE E TECNICHE DEL MONTAGGIO', 'Scienze Umanistiche']
triennale	DISEGNO INDUSTRIALE	L-4	['2079']	Accesso libero	DESIGN DELLO SPAZIO, DESIGN DI PRODOTTO	['https://offertaformativa.unipa.it/offweb/public/corso/visualizzaCurriculum.seam;jsessionid=SWgbhEEQ+hjRAoLWrTiz8riH.undefined?oidCurriculum=21966&paginaProvenienza=ricercaSemplice&cid=1137', 'https://offertaformativa.unipa.it/offweb/public/corso/visualizzaCurriculum.seam;jsessionid=SWgbhEEQ+hjRAoLWrTiz8riH.undefined?oidCurriculum=21967&paginaProvenienza=ricercaSemplice&cid=1137']	['DESIGN DI PRODOTTO', 'DISEGNO INDUSTRIALE', 'LABORATORIO DI DESIGN DI PRODOTTO E DI COMUNICAZIONE', 'LABORATORIO DI TECNOLOGIA PER IL DESIGN', 'ANTROPOLOGIA DEGLI ARTEFATTI', 'FONDAMENTI PER IL DESIGN DIGITALE', 'FOTOGRAFIA', 'LABORATORIO DI DESIGN DELLA COMUNICAZIONE', 'DISEGNO AUTOMATICO', 'CALCOLO DI STRUTTURE PER IL DISEGNO INDUSTRIALE', 'LABORATORIO DI ARCHITETTURA E ALLESTIMENTO DEGLI SPAZI', 'LAB. DI ANALISI, COMUNICAZIONE E PROGETTAZIONE DELLO SPAZIO URBANO', 'DIGITAL MANUFACTURING', 'LABORATORIO DI DESIGN DI PRODOTTO', 'LABORATORIO DI DESIGN DI PRODOTTO E COMUNICAZIONE INTEGRATA', 'Architettura']
triennale	ECONOMIA E AMMINISTRAZIONE AZIENDALE	L-18	['2077', '2225']	550 posti	ECONOMIA E AMMINISTRAZIONE AZIENDALE, ECONOMIA E AMMINISTRAZIONE AZIENDALE (CANALE AG)	['https://offertaformativa.unipa.it/offweb/public/corso/visualizzaCurriculum.seam;jsessionid=SWgbhEEQ+hjRAoLWrTiz8riH.undefined?oidCurriculum=22067&paginaProvenienza=ricercaSemplice&cid=1137', 'https://offertaformativa.unipa.it/offweb/public/corso/visualizzaCurriculum.seam;jsessionid=SWgbhEEQ+hjRAoLWrTiz8riH.undefined?oidCurriculum=22068&paginaProvenienza=ricercaSemplice&cid=1137']	['ECONOMIA E AMMINISTRAZIONE AZIENDALE (CANALE AG)', 'ECONOMIA E AMMINISTRAZIONE AZIENDALE', 'STATISTICA', 'DIRITTO TRIBUTARIO', 'FONDAMENTI DI ECONOMIA CIRCOLARE', 'GESTIONE DEGLI INVESTIMENTI E DEI FINANZIAMENTI', "MARKETING E MANAGEMENT D'IMPRESA", 'ECONOMIA APPLICATA', 'MODULO I', 'MODULO II', 'DIRITTO PENALE', 'DIRITTO COMMERCIALE', 'DIRITTO DEL LAVORO', 'ECONOMIA E GESTIONE DEGLI INTERMEDIARI FINANZIARI', 'PROGRAMMAZIONE E CONTROLLO', 'STATISTICA ECONOMICA E AZIENDALE', 'Scienze Economiche, Aziendali e Statistiche']
triennale	ECONOMIA E COOPERAZIONE INTERNAZIONALE PER LO SVILUPPO SOSTENIBILE	L-37	['2297']	Accesso libero	ECONOMIC DEVELOPMENT, COOPERATION AND MIGRATION, SVILUPPO ECONOMICO, AMBIENTE E SOSTENIBILITÀ	['https://offertaformativa.unipa.it/offweb/public/corso/visualizzaCurriculum.seam;jsessionid=SWgbhEEQ+hjRAoLWrTiz8riH.undefined?oidCurriculum=22527&paginaProvenienza=ricercaSemplice&cid=1137', 'https://offertaformativa.unipa.it/offweb/public/corso/visualizzaCurriculum.seam;jsessionid=SWgbhEEQ+hjRAoLWrTiz8riH.undefined?oidCurriculum=22526&paginaProvenienza=ricercaSemplice&cid=1137']	['SVILUPPO ECONOMICO, AMBIENTE E SOSTENIBILITÀ', 'ECONOMIA E COOPERAZIONE INTERNAZIONALE PER LO SVILUPPO SOSTENIBILE', 'MATEMATICA PER LE SCIENZE SOCIALI', 'ECONOMIA AZIENDALE', 'SOCIOLOGIA GENERALE E DELLO SVILUPPO', 'METODOLOGIA DELLA RICERCA SOCIALE', 'STATISTICA', 'FONDAMENTI DI ECONOMIA CIRCOLARE', 'DIRITTO INTERNAZIONALE E SFIDE GLOBALI', 'DIRITTO DEI TRASPORTI E SOSTENIBILITÀ AMBIENTALE', 'STATISTICA ECONOMICA', 'ECONOMIA DEL NON PROFIT E DEL MICROCREDITO', 'ECONOMIA E POLITICA DELLO SVILUPPO SOSTENIBILE', "POLITICA ECONOMICA E DELL'INTEGRAZIONE EUROPEA", 'SISTEMI INFORMATICI PER LO SVILUPPO', 'POPOLAZIONE, MIGRAZIONI E SVILUPPO', 'POVERTÀ E DISUGUAGLIANZA', 'GEOGRAFIA E SOSTENIBILITÀ', 'Scienze Economiche, Aziendali e Statistiche']
triennale	ECONOMIA E FINANZA	L-33	['2081']	Accesso libero	ECONOMICO-APPLICATO, ECONOMICO-FINANZIARIO, ECONOMICS	['https://offertaformativa.unipa.it/offweb/public/corso/visualizzaCurriculum.seam;jsessionid=SWgbhEEQ+hjRAoLWrTiz8riH.undefined?oidCurriculum=22069&paginaProvenienza=ricercaSemplice&cid=1137', 'https://offertaformativa.unipa.it/offweb/public/corso/visualizzaCurriculum.seam;jsessionid=SWgbhEEQ+hjRAoLWrTiz8riH.undefined?oidCurriculum=22070&paginaProvenienza=ricercaSemplice&cid=1137', 'https://offertaformativa.unipa.it/offweb/public/corso/visualizzaCurriculum.seam;jsessionid=SWgbhEEQ+hjRAoLWrTiz8riH.undefined?oidCurriculum=22071&paginaProvenienza=ricercaSemplice&cid=1137']	['ECONOMICS', 'ECONOMIA E FINANZA', 'DIRITTO PUBBLICO', 'STORIA ECONOMICA E DEL PENSIERO ECONOMICO', 'STATISTICA 1', 'MACROECONOMIA', 'CONCORRENZA E DIRITTO CONTRATTUALE EUROPEO', 'SCIENZA DELLE FINANZE', 'APPLIED MACROECONOMICS', 'APPLIED MICROECONOMICS', 'POLITICA ECONOMICA', 'MACROECONOMETRICS', 'MICROECONOMETRICS', 'Gruppo di attiv. form. opzionali II', 'MATEMATICA FINANZIARIA', 'STATISTICA ECONOMICA', 'ECONOMIA E GESTIONE DEGLI INTERMEDIARI FINANZIARI', 'ECONOMIA E GESTIONE DELLE IMPRESE', 'Scienze Economiche, Aziendali e Statistiche']
triennale	FARMACEUTICA E NUTRACEUTICA ANIMALE	L-29	['2278']	106 posti		['https://offertaformativa.unipa.it/offweb/public/corso/visualizzaCurriculum.seam;jsessionid=SWgbhEEQ+hjRAoLWrTiz8riH.undefined?oidCurriculum=22166&paginaProvenienza=ricercaSemplice&cid=1137']	['FARMACEUTICA E NUTRACEUTICA ANIMALE', 'FARMACOGNOSIA', 'BOTANICA VETERINARIA', 'MICROBIOLOGIA APPLICATA AI PRODOTTI PER ANIMALI', 'FISIOLOGIA DELLA NUTRIZIONE ANIMALE E MANGIMISTICA', 'CHIMICA ANALITICA', 'ANALISI DEI FARMACI VETERINARI', 'CHIMICA DEGLI ALIMENTI PER ANIMALI', 'PROGETTAZ.E SVILUP. NUTRACEUTICI,MANGIMI COMPLEMENT.E MANGIMI MEDICATI', 'MALATTIE INFETTIVE E BENESSERE ANIMALE', 'NORMATIVA DEGLI ALIMENTI, DEI PROD. SALUTISTICI E DEI MEDIC. VETERIN.', 'CHIMICA FARMACEUTICA VETERINARIA', 'TECNOL. DELLE FORME DI DOSAGGIO DEI MEDIC. E DEI NUTRACEUTICI VETERIN.', 'BASI FARMACOLOGICHE IN VETERINARIA', 'PRODUZ.INDUST.E CONTR.DI QUAL.DEI MEDIC.E DEI PROD.NUTRACEUTICI VETER.', 'Scienze e Tecnologie Biologiche, Chimiche e Farmaceutiche']
triennale	FISIOTERAPIA  	L/SNT2	['2170']	35 posti		['https://offertaformativa.unipa.it/offweb/public/corso/visualizzaCurriculum.seam;jsessionid=SWgbhEEQ+hjRAoLWrTiz8riH.undefined?oidCurriculum=22293&paginaProvenienza=ricercaSemplice&cid=1137']	['FISIOTERAPIA', 'PSICOLOGIA GENERALE', 'TIROCINIO', 'METODOLOGIA RIABILITATIVA', "ATTIVITA' MOTORIA", 'MEDICINA  FISICA E RIABILITATIVA', 'NEUROLOGIA', 'NEUROFISIOLOGIA', 'PRINCIPI GENERALI E TECNICHE DELLA RIABILITAZIONE NEUROMOTORIA', 'MEDICINA INTERNA E GERIATRICA', 'MALATTIE APPARATO RESPIRATORIO', 'MALATTIE APPARATO CARDIOVASCOLARE', 'RIABILITAZIONE MOTORIA E FISIOTERAPIA STRUMENTALE', 'MALATTIE APPARATO LOCOMOTORE', 'ORGANIZZAZIONE DELLA PROFESSIONE', 'ECONOMIA ED ORGANIZZAZIONE AZIENDALE', 'RIABILITAZIONE FISIOTERAPICA  IN CHIRURGIA E MEDICINA SPECIALISTICA', 'DIAGNOSTICA PER IMMAGINE E RADIOTERAPIA', 'IGIENE GENERALE E APPLICATA', 'PEDIATRIA GENERALE E SPECIALISTICA', 'RIABILITAZIONE PEDIATRICA', 'Biomedicina, Neuroscienze e Diagnostica avanzata']
triennale	IGIENE DENTALE  	L/SNT3	['2208']	16 posti		['https://offertaformativa.unipa.it/offweb/public/corso/visualizzaCurriculum.seam;jsessionid=SWgbhEEQ+hjRAoLWrTiz8riH.undefined?oidCurriculum=22297&paginaProvenienza=ricercaSemplice&cid=1137']	['IGIENE DENTALE', 'PEDAGOGIA SANITARIA', 'MICROBIOLOGIA E MICROBIOLOGIA CLINICA', 'SISTEMI DI ELABORAZIONE DELLE INFORMAZIONI', 'IGIENE DENTALE APPLICATA ALLE MALATTIE DEI TESSUTI DURI DENTALI', 'RADIOLOGIA', 'CARIOLOGIA E CENNI DI ODONTOIATRIA CONSERVATIVA', 'TIROCINIO', 'IGIENE DENTALE APPLICATA ALLA PATOLOGIA ORALE', 'PATOLOGIA ORALE', 'IGIENE GENERALE E APPLICATA', "ODONTOIATRIA NELL'ETA' EVOLUTIVA", 'IGIENE DENTALE APPLICATA ALLA PARODONTOLOGIA', 'PARODONTOLOGIA', 'SPECIAL CARE PER IGIENISTI DENTALI', 'ONCOLOGIA', 'ODONTOIATRIA DI COMUNITÀ', 'MEDICINA LEGALE', 'ORGANIZZAZIONE AZIENDALE', 'CHIRURGIA GENERALE', 'CHIRURGIA PLASTICA', 'PROTESI E IMPLANTOLOGIA', 'CHIRURGIA ODONTOSTOMATOLOGICA', 'Discipline Chirurgiche, Oncologiche e Stomatologiche']
triennale	INFERMIERISTICA  	L/SNT1	['2271', '2272', '2172', '2266']	560 posti	INFERMIERISTICA (ABILITANTE ALLA PROFESSIONE SANITARIA DI INFERMIERE) - SEDE AGRIGENTO, INFERMIERISTICA (ABILITANTE ALLA PROFESSIONE SANITARIA DI INFERMIERE) - SEDE CALTANISSETTA, INFERMIERISTICA (ABILITANTE ALLA PROFESSIONE SANITARIA DI INFERMIERE) - SEDE PALERMO, INFERMIERISTICA (ABILITANTE ALLA PROFESSIONE SANITARIA DI INFERMIERE) - SEDE TRAPANI	['https://offertaformativa.unipa.it/offweb/public/corso/visualizzaCurriculum.seam;jsessionid=SWgbhEEQ+hjRAoLWrTiz8riH.undefined?oidCurriculum=22298&paginaProvenienza=ricercaSemplice&cid=1137', 'https://offertaformativa.unipa.it/offweb/public/corso/visualizzaCurriculum.seam;jsessionid=SWgbhEEQ+hjRAoLWrTiz8riH.undefined?oidCurriculum=22301&paginaProvenienza=ricercaSemplice&cid=1137', 'https://offertaformativa.unipa.it/offweb/public/corso/visualizzaCurriculum.seam;jsessionid=SWgbhEEQ+hjRAoLWrTiz8riH.undefined?oidCurriculum=22299&paginaProvenienza=ricercaSemplice&cid=1137', 'https://offertaformativa.unipa.it/offweb/public/corso/visualizzaCurriculum.seam;jsessionid=SWgbhEEQ+hjRAoLWrTiz8riH.undefined?oidCurriculum=22300&paginaProvenienza=ricercaSemplice&cid=1137']	['INFERMIERISTICA - SEDE TRAPANI', 'INFERMIERISTICA', 'INFORMATIZZAZIONE DELLA DOCUMENTAZIONE SANITARIA', "TEORIA DELL' ASSISTENZA INFERMIERISTICA", 'TIROCINIO', 'METODOLOGIA INFERMIERISTICA CLINICA', 'CHIRURGIA GENERALE', 'MEDICINA INTERNA', 'MALATTIE DELL’APPARATO DIGERENTE E PATOLOGIE DELLA NUTRIZIONE', 'MALATTIE APPARATO CARDIOVASCOLARE', 'NEUROLOGIA', 'DIAGNOSTICA PER IMMAGINI E RADIOTERAPIA', 'METODOLOGIA INFERMIERISTICA CLINICA 2', 'METODOLOGIA RICERCA INFERMIERISTICA', 'INFERMIERISTICA DOMICILIARE E DI COMUNITÀ', 'INFERMIERISTICA CLINICA OSTETRICO GINECOLOGICA', 'INFERMIERISTICA IN AREA CRITICA ED EMERGENZA TERRITORIALE', 'INFERMIERISTICA IN CURE PALLIATIVE E DEL FINE VITA', 'PSICOLOGIA CLINICA', 'ECONOMIA AZIENDALE', 'ORGANIZZAZIONE PROFESSIONALE E DEONTOLOGIA INFERMIERISTICA', 'MEDICINA LEGALE', 'Promozione della Salute, Materno-Infantile, di Medicina Interna e Specialistica di Eccellenza “G. D’Alessandro”']
triennale	INFORMATICA	L-31	['2086']	Accesso libero		['https://offertaformativa.unipa.it/offweb/public/corso/visualizzaCurriculum.seam;jsessionid=SWgbhEEQ+hjRAoLWrTiz8riH.undefined?oidCurriculum=22612&paginaProvenienza=ricercaSemplice&cid=1137']	['INFORMATICA', 'GEOMETRIA', 'FISICA', 'BASI DI DATI', "CALCOLO DELLE PROBABILITA'", 'LINGUAGGI DI PROGRAMMAZIONE', 'INFORMATICA TEORICA', 'ANALISI NUMERICA', 'ALGORITMI E STRUTTURE DATI', 'SISTEMI OPERATIVI', 'FONDAMENTI DI SCIENZA DEI DATI', 'RETI DI CALCOLATORI', 'VISIONE ARTIFICIALE', 'INGEGNERIA E SICUREZZA DEL SOFTWARE', 'COMPILATORI', 'LABORATORIO DI ALGORITMI', 'Matematica e Informatica']
